seed,MODEL,F1_M,AUC_ROC_M,RECALL,TP_1,TP_0
43,RFMC,0.8629757813943967,0.9307418699186992,0.8739837398373984,0.8739837398373984,0.9875
43,RF,0.9399911849773612,0.9199317073170731,0.8414634146341463,0.8414634146341463,0.9984
43,MLPC,0.7926038928179114,0.9241918699186992,0.8739837398373984,0.8739837398373984,0.9744
47,RFMC,0.8646957001612122,0.9269768292682926,0.8658536585365854,0.8658536585365854,0.9881
47,RF,0.938066940540458,0.9198317073170731,0.8414634146341463,0.8414634146341463,0.9982
47,MLPC,0.9278001067513666,0.9133841463414634,0.8292682926829268,0.8292682926829268,0.9975
53,RFMC,0.8804902290676402,0.937889430894309,0.8861788617886179,0.8861788617886179,0.9896
53,RF,0.9514877447435659,0.9264292682926828,0.8536585365853658,0.8536585365853658,0.9992
53,MLPC,0.8299920138323525,0.933789430894309,0.8861788617886179,0.8861788617886179,0.9814
59,RFMC,0.8841637111259015,0.9283768292682927,0.8658536585365854,0.8658536585365854,0.9909
59,RF,0.939027070222755,0.9198817073170731,0.8414634146341463,0.8414634146341463,0.9983
59,MLPC,0.7944716217770429,0.9340044715447154,0.8943089430894309,0.8943089430894309,0.9737
